challenge_text,intensity,orientation,pairing
USERNAME gives PARTNERNAME a 30 second massage,3,All,All
USERNAME and PARTNERNAME share a drink,2,All,All
USERNAME tells PARTNERNAME their most embarrassing moment,4,All,All
USERNAME and PARTNERNAME dance together for 1 minute,5,All,All
USERNAME compliments PARTNERNAME's best feature,2,All,All
USERNAME and PARTNERNAME take a selfie together,1,All,All
USERNAME tells PARTNERNAME a secret,6,All,All
USERNAME and PARTNERNAME hold hands for the next round,3,All,All
USERNAME gives PARTNERNAME a nickname,2,All,All
USERNAME and PARTNERNAME swap an item of clothing,7,All,All
